Serial No,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
0,Maruti Wagon R LXI CNG,"San Jose, CA",2010,72000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,,1.75
1,Hyundai Creta 1.6 CRDi SX Option,"San Antonio, TX",2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.5
2,Honda Jazz V,"Philadelphia, PA",2011,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,10129.41 USD,4.5
3,Maruti Ertiga VDI,"Chicago, IL",2012,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,6.0
4,Audi A4 New 2.0 TDI Multitronic,"Phoenix, AZ",2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,,17.74
5,Hyundai EON LPG Era Plus Option,"San Jose, CA",2012,75000,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5.0,,2.35
6,Nissan Micra Diesel XV,"San Diego, CA",2013,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.5
7,Toyota Innova Crysta 2.8 GX AT 8S,"San Diego, CA",2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8.0,24705.88 USD,17.5
8,Volkswagen Vento Diesel Comfortline,"San Jose, CA",2013,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.2
9,Tata Indica Vista Quadrajet LS,"Philadelphia, PA",2012,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5.0,,1.95
10,Maruti Ciaz Zeta,"Los Angeles, CA",2018,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,12529.41 USD,9.95
11,Honda City 1.5 V AT Sunroof,"Chicago, IL",2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.49
12,Maruti Swift VDI BSIV,"Phoenix, AZ",2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,5.6
13,Land Rover Range Rover 2.2L Pure,"Phoenix, AZ",2014,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,27.0
14,Land Rover Freelander 2 TD4 SE,"San Diego, CA",2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5.0,,17.5
15,Mitsubishi Pajero Sport 4X4,"San Diego, CA",2014,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,37658.82 USD,15.0
16,Honda Amaze S i-Dtech,"Chicago, IL",2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.4
17,Maruti Swift DDiS VDI,"Houston, TX",2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,5.99
18,Renault Duster 85PS Diesel RxL Plus,"Houston, TX",2014,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.34
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,"San Jose, CA",2014,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5.0,,28.0
20,BMW 3 Series 320d,"Dallas, TX",2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,56317.65 USD,18.55
21,Maruti S Cross DDiS 200 Alpha,"Philadelphia, PA",2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,,8.25
22,Audi A6 2011-2015 35 TFSI Technology,"Dallas, TX",2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,,23.5
23,Hyundai i20 1.2 Magna,"Dallas, TX",2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,1.87
24,Volkswagen Vento Petrol Highline AT,"Los Angeles, CA",2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5.0,,2.85
